Id,OwnerId,Name,TASKRAY__Archived__c,TASKRAY__Blocked__c,TASKRAY__Deadline__c,TASKRAY__Dependent_Update_Pending__c,TASKRAY__List__c,TASKRAY__Priority__c,TASKRAY__Project__c,TASKRAY__RepeatCreated__c,TASKRAY__Repeat_Interval_Type__c,TASKRAY__SortOrder__c,TASKRAY__Status__c,TASKRAY__trBusinessDuration__c,TASKRAY__trBusinessHrsOverride__c,TASKRAY__trCompleted__c,TASKRAY__trEstimatedHours__c,TASKRAY__trIsMilestone__c,TASKRAY__trLockDates__c,TASKRAY__trProjectSortOrder__c,TASKRAY__trStartDate__c,TASKRAY__trTaskGroup__c,TASKRAY__trPredecessorTasksIncomplete__c,TASKRAY__trScheduleConflict__c,TASKRAY__trInternalOnly__c,TASKRAY__trNumberOfTimesBlocked__c,TASKRAY__trCompletedAheadOfSchedule2__c,TASKRAY__trCompletedBehindSchedule2__c,TASKRAY__trAvailableExternal__c
$Task33,$trdOperations_Manager,Train relevant staff on new training room/classroom policies,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,49,$T+10,$TaskGroup14,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task34,$trdOperations_Staff,"Review, modify & document shared storage space protocols",FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,50,$T+8,$TaskGroup6,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task35,$trdOperations_Staff,Communicate new protocols to employees/tenants,FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,51,$T+8,$TaskGroup6,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task36,$trdOperations_Manager,Train relevant staff,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,53,$T+10,$TaskGroup6,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task37,$trdOperations_Staff,Determine the maximum capacity based on social distancing guidelines,FALSE,FALSE,$T+11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,54,$T+11,$TaskGroup9,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task38,$trdOperations_Staff,Add capacity information to room reservation apps,FALSE,FALSE,$T+11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,55,$T+11,$TaskGroup9,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task39,$trdOperations_Staff,Communicate new meeting room protocols to employees,FALSE,FALSE,$T+11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,56,$T+11,$TaskGroup9,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task40,$trdOperations_Staff,Create and post signs outside and inside each room to communicate capacity,FALSE,FALSE,$T+13,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,57,$T+11,$TaskGroup9,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task41,$trdOperations_Staff,Develop new practices on kitchen and meal preparation areas,FALSE,FALSE,$T+11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,59,$T+11,$TaskGroup16,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task42,$trdOperations_Staff,Communicate new shared kitchen practices with employees,FALSE,FALSE,$T+11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,60,$T+11,$TaskGroup16,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task43,$trdOperations_Staff,Review workspace for areas of risk/opportunities for improvement,FALSE,FALSE,$T+11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,63,$T+11,$TaskGroup7,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task44,$trdOperations_Staff,Develop workstation floor plan,FALSE,FALSE,$T+11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,64,$T+11,$TaskGroup7,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task45,$trdOperations_Staff,Assign workstations/seating based on WFH/hoteling plan,FALSE,FALSE,$T+11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,65,$T+11,$TaskGroup7,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task46,$trdOperations_Staff,Create seating chart,FALSE,FALSE,$T+14,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,4,FALSE,FALSE,,FALSE,FALSE,66,$T+11,$TaskGroup7,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task47,$trdOperations_Staff,Publish seating chart/communicate to employees,FALSE,FALSE,$T+14,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,67,$T+14,$TaskGroup7,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task48,$trdOperations_Staff,Communicate new protocols to employees/tenants,FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,39,$T+8,$TaskGroup4,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task49,$trdOperations_Staff,"Entrance/Reception Signage: review, update & post",FALSE,FALSE,$T+9,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,25,$T+9,$TaskGroup11,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task50,$trdOperations_Staff,"Review, modify & document processes for inbound and outbound deliveries",FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,26,$T+8,$TaskGroup5,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task51,$trdOperations_Manager,Decide if need to implement directional traffic flow for main circulation paths,FALSE,FALSE,$T+12,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,68,$T+12,$TaskGroup10,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task52,$trdOperations_Staff,"If new traffic plan, document",FALSE,FALSE,$T+12,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,69,$T+12,$TaskGroup10,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task53,$trdOperations_Staff,Communicate new traffic flow protocols to employees/tenants,FALSE,FALSE,$T+12,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,70,$T+12,$TaskGroup10,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task54,$trdOperations_Staff,Create and post signs to clearly designate traffic flow,FALSE,FALSE,$T+13,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,2,FALSE,FALSE,,FALSE,FALSE,71,$T+12,$TaskGroup10,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task55,$trdOperations_Manager,Communicate new protocols to employees,FALSE,FALSE,$T+13,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,74,$T+13,$TaskGroup15,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task56,$trdOperations_Staff,Post signage clearly stating protocols,FALSE,FALSE,$T+13,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,61,$T+11,$TaskGroup16,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task57,$trdOperations_Staff,Document plan,FALSE,FALSE,$T+13,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,76,$T+13,$TaskGroup17,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task58,$trdOperations_Staff,Install signage explaining new food service policies,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,40,$T+8,$TaskGroup4,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task59,$trdOperations_Staff,"Entrance Protocols: review, update & document",FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,22,$T+8,$TaskGroup11,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task60,$trdOperations_Manager,Train relevant staff,FALSE,FALSE,$T+13,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,62,$T+13,$TaskGroup16,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task61,$trdOperations_Manager,Communicate new practices to employees,FALSE,FALSE,$T+14,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,80,$T+14,$TaskGroup12,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task62,$trdOperations_Staff,"Reception Protocols: review, update & document",FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,23,$T+8,$TaskGroup11,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task63,$trdOperations_Staff,Post signage clearly stating protocols,FALSE,FALSE,$T+16,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,81,$T+14,$TaskGroup12,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task64,$trdOperations_Staff,"Develop new practices for shared equipment (printers, copiers, chairs)",FALSE,FALSE,$T+14,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,79,$T+14,$TaskGroup12,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task65,$trdOperations_Staff,"Determine use, sanitizing & amenities for individual workspaces/desks",FALSE,FALSE,$T+13,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,75,$T+13,$TaskGroup17,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task66,$trdOperations_Staff,"Review, modify & document processes for arriving vehicles",FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,30,$T+8,$TaskGroup8,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task67,$trdOperations_Manager,Determine a method for conducting regular counts of occupants per floor,FALSE,FALSE,$T+12,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,72,$T+12,$TaskGroup15,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task68,$trdOperations_Manager,Document plan,FALSE,FALSE,$T+12,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,73,$T+12,$TaskGroup15,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task69,$trdOperations_Manager,Train relevant staff,FALSE,FALSE,$T+13,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,58,$T+13,$TaskGroup9,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task70,$trdOperations_Staff,Install signage explaining parking procedures,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,32,$T+8,$TaskGroup8,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task71,$trdOperations_Staff,Create and post signs to remind people of what to do,FALSE,FALSE,$T+15,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,78,$T+15,$TaskGroup17,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task72,$trdOperations_Staff,Develop new practices for light and power switch use,FALSE,FALSE,$T+15,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,2,FALSE,FALSE,,FALSE,FALSE,82,$T+14,$TaskGroup18,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task73,$trdOperations_Staff,Communicate new protocols to employees,FALSE,FALSE,$T+15,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,77,$T+13,$TaskGroup17,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task74,$trdOperations_Manager,Communicate new practices to employees,FALSE,FALSE,$T+15,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,86,$T+15,$TaskGroup19,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task75,$trdOperations_Staff,Develop new practices for door and handle use,FALSE,FALSE,$T+15,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,2,FALSE,FALSE,,FALSE,FALSE,85,$T+14,$TaskGroup19,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task76,$trdOperations_Staff,Post signage clearly stating protocols,FALSE,FALSE,$T+15,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,87,$T+15,$TaskGroup19,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task77,$trdOperations_Manager,Develop Post-Return communication plan,FALSE,FALSE,$T+34,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,103,$T+34,$TaskGroup20,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task78,$trdOperations_Manager,REOPEN,FALSE,FALSE,$T+44,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,TRUE,FALSE,104,$T+44,$TaskGroup24,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task79,$trdOperations_Staff,Conduct counts of occupants per floor (hourly),FALSE,FALSE,$T+44,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,105,$T+44,$TaskGroup24,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task80,$trdOperations_Staff,Cleaning & disinfecting (daily),FALSE,FALSE,$T+48,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,5,FALSE,FALSE,,FALSE,FALSE,106,$T+44,$TaskGroup24,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task81,$trdExecutive,Determine mandate for Response Team (areas of responsibility),FALSE,FALSE,$T-11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,0,$T-11,$TaskGroup2,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task82,$trdExecutive,Assign roles and responsibilities,FALSE,FALSE,$T-11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,2,$T-11,$TaskGroup2,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task83,$trdExecutive,Enact protocols for contact tracing & risk assessment (as needed),FALSE,FALSE,$T+54,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,6,FALSE,FALSE,,FALSE,FALSE,110,$T+49,$TaskGroup24,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
