Id,OwnerId,Name,RecordTypeId,TASKRAY__Archived__c,TASKRAY__Blocked__c,TASKRAY__Deadline__c,TASKRAY__Dependent_Update_Pending__c,TASKRAY__List__c,TASKRAY__Priority__c,TASKRAY__Project__c,TASKRAY__RepeatCreated__c,TASKRAY__Repeat_Interval_Type__c,TASKRAY__SortOrder__c,TASKRAY__Status__c,TASKRAY__trBusinessDuration__c,TASKRAY__trBusinessHrsOverride__c,TASKRAY__trCompleted__c,TASKRAY__trIsMilestone__c,TASKRAY__trLockDates__c,TASKRAY__trProjectSortOrder__c,TASKRAY__trStartDate__c,TASKRAY__trTaskGroup__c,TASKRAY__trPredecessorTasksIncomplete__c,TASKRAY__trScheduleConflict__c,TASKRAY__trInternalOnly__c,TASKRAY__trNumberOfTimesBlocked__c,TASKRAY__trCompletedAheadOfSchedule2__c,TASKRAY__trCompletedBehindSchedule2__c,TASKRAY__trAvailableExternal__c
$Task11,$trdOperations_Staff,Update & distribute emergency contact list (monthly or as needed),0125w000001DGLdAAO,FALSE,FALSE,$T+30,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,FALSE,FALSE,5,$T+28,$TaskGroup1,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task12,$trdOperations_Staff,Re-route any deliveries,0125w000001DGLdAAO,FALSE,FALSE,$T+28,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,10,$T+28,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task13,$trdOperations_Staff,Empty kitchens & refrigerators of perishable goods,0125w000001DGLdAAO,FALSE,FALSE,$T+28,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,11,$T+28,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task14,$trdOperations_Staff,Collect office keys,0125w000001DGLdAAO,FALSE,FALSE,$T+37,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,14,$T+37,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task15,$trdOperations_Staff,Schedule employees to collect personal belongings,0125w000001DGLdAAO,FALSE,FALSE,$T+37,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,9,FALSE,FALSE,FALSE,FALSE,12,$T+29,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task16,$trdOperations_Staff,Check security systems to make sure they are fully functional,0125w000001DGLdAAO,FALSE,FALSE,$T+37,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,16,$T+37,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task17,$trdOperations_Staff,"Lock up desks, cabinets, and storage",0125w000001DGLdAAO,FALSE,FALSE,$T+37,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,13,$T+37,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task18,$trdOperations_Staff,Lock all doors & windows,0125w000001DGLdAAO,FALSE,FALSE,$T+37,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,17,$T+37,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task19,$trdOperations_Staff,Forward mail or arrange for someone to pick up,0125w000001DGLdAAO,FALSE,FALSE,$T+48,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,6,FALSE,FALSE,FALSE,FALSE,24,$T+43,$TaskGroup4,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task20,$trdOperations_Manager,Create work remote plan,0125w000001DGLdAAO,FALSE,FALSE,$T+24,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,7,FALSE,FALSE,FALSE,FALSE,0,$T+18,$TaskGroup1,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task21,$trdOperations_Staff,"Set thermostat to ""away"" temperature",0125w000001DGLdAAO,FALSE,FALSE,$T+37,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,15,$T+37,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task22,$trdExecutive,Office Closed,0125w000001DGLdAAO,FALSE,FALSE,$T+42,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,TRUE,FALSE,19,$T+42,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task23,$trdExecutive,Monitor conditions to determine when to reopen,0125w000001DGLdAAO,FALSE,FALSE,$T+59,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,11,FALSE,FALSE,FALSE,FALSE,28,$T+49,$TaskGroup5,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task24,$trdOperations_Manager,Evaluate work remote tools for employees,0125w000001DGLdAAO,FALSE,FALSE,$T+27,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,7,FALSE,FALSE,FALSE,FALSE,1,$T+21,$TaskGroup1,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task25,$trdOperations_Staff,Notify landlord (call & email),0125w000001DGLdAAO,FALSE,FALSE,$T+39,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,18,$T+39,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task26,$trdOperations_Manager,Update voicemail message to indicate closure,0125w000001DGLdAAO,FALSE,FALSE,$T+42,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,20,$T+42,$TaskGroup4,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task27,$trdOperations_Staff,Send email to all employees notifying them of closure & next steps,0125w000001DGLdAAO,FALSE,FALSE,$T+42,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,21,$T+42,$TaskGroup4,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task28,$trdOperations_Staff,Send email to vendors alerting them of closure,0125w000001DGLdAAO,FALSE,FALSE,$T+44,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,FALSE,FALSE,23,$T+42,$TaskGroup4,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task29,$trdExecutive,Communicate with employees early & often,0125w000001DGLdAAO,FALSE,FALSE,$T+48,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,27,$T+48,$TaskGroup5,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
