Id,OwnerId,Name,RecordTypeId,TASKRAY__Archived__c,TASKRAY__Blocked__c,TASKRAY__Dependent_Update_Pending__c,TASKRAY__List__c,TASKRAY__Priority__c,TASKRAY__Project__c,TASKRAY__RepeatCreated__c,TASKRAY__Repeat_Interval_Type__c,TASKRAY__SortOrder__c,TASKRAY__Status__c,TASKRAY__trBusinessHrsOverride__c,TASKRAY__trCompleted__c,TASKRAY__trIsMilestone__c,TASKRAY__trLockDates__c,TASKRAY__trProjectSortOrder__c,TASKRAY__trTaskGroup__c,TASKRAY__trPredecessorTasksIncomplete__c,TASKRAY__trScheduleConflict__c,TASKRAY__trInternalOnly__c,TASKRAY__trNumberOfTimesBlocked__c,TASKRAY__trCompletedAheadOfSchedule2__c,TASKRAY__trCompletedBehindSchedule2__c,TASKRAY__trAvailableExternal__c
$Task11,$trdOperations_Staff,Separate shipping and receiving areas from the general population,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,2,$TaskGroup3,false,false,false,0,false,false,false
$Task12,$trdOperations_Manager,Require personnel handling mail and parcels to wear PPE to receive deliveries,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,3,$TaskGroup3,false,false,false,0,false,false,false
$Task13,$trdOperations_Staff,Sanitizing the exterior of packing,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,4,$TaskGroup3,false,false,false,0,false,false,false
$Task14,$trdOperations_Staff,Remove items from boxes and appropriately discarding,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,5,$TaskGroup3,false,false,false,0,false,false,false
$Task15,$trdOperations_Manager,Determine cleaning plans,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,6,$TaskGroup3,false,false,false,0,false,false,false
$Task16,$trdOperations_Staff,Provide hand sanitizer in all building common areas,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,0,$TaskGroup4,false,false,false,0,false,false,false
$Task17,$trdOperations_Staff,Signage:  signage or floor markings to direct foot traffic,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,1,$TaskGroup4,false,false,false,0,false,false,false
$Task18,$trdOperations_Staff,Communicate new rules or protocols for common areas,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,2,$TaskGroup4,false,false,false,0,false,false,false
$Task19,$trdOperations_Staff,Casual gathering spaces: Re-arrange furniture to promote social distancing,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,3,$TaskGroup4,false,false,false,0,false,false,false
$Task20,$trdOperations_Staff,Food service: Consider acrylic dividers between service provider and users,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,4,$TaskGroup4,false,false,false,0,false,false,false
$Task21,$trdOperations_Staff,Fitness facilities/bicycle storage units: Clearly signpost queuing areas,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,5,$TaskGroup4,false,false,false,0,false,false,false
$Task22,$trdOperations_Staff,Provide social distancing queue management for waiting passengers,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,0,$TaskGroup5,false,false,false,0,false,false,false
$Task23,$trdOperations_Staff,Provide instructional signage displaying healthy elevator use protocols,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,1,$TaskGroup5,false,false,false,0,false,false,false
$Task24,$trdOperations_Staff,Manage flow and discourage over-crowding of elevator carriages,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,2,$TaskGroup5,false,false,false,0,false,false,false
$Task25,$trdOperations_Staff,Signage inside elevator displaying elevator use protocols– floor stickers,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,3,$TaskGroup5,false,false,false,0,false,false,false
$Task26,$trdOperations_Staff,"Review of elevator cleaning processes, and updates",0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,4,$TaskGroup5,false,false,false,0,false,false,false
$Task27,$trdOperations_Staff,Escalator signage directing passengers where to stand and not to pass,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,5,$TaskGroup5,false,false,false,0,false,false,false
$Task28,$trdExecutive,Promote safe public transportation,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,0,$TaskGroup2,false,false,false,0,false,false,false
$Task29,$trdExecutive,If employee is ride-sharing promote PPE,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,1,$TaskGroup2,false,false,false,0,false,false,false
$Task30,$trdOperations_Manager,Sanitize touchpoints especially if shared modes like public bicycles,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,2,$TaskGroup2,false,false,false,0,false,false,false
$Task31,$trdExecutive,Advocating that employees with long commutes continue working from home,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,3,$TaskGroup2,false,false,false,0,false,false,false
$Task32,$trdExecutive,Consider new protocols for vehicles arriving on site,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,4,$TaskGroup2,false,false,false,0,false,false,false
$Task33,$trdExecutive,Protocols for emergency vehicles arriving to transport infected passengers,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,5,$TaskGroup2,false,false,false,0,false,false,false
